,train_acc,train_auc,train_ll,test_acc,test_auc,test_ll,valid_acc,valid_auc,valid_ll,time
XGBoost 0.1_Silent_3_800_42_0.85,0.9580812530592266,0.9580743966222236,0.1103174548306535,0.9241233480176212,0.9241152362089965,0.17766350428199565,0.9304948540814888,0.9305253321727555,0.16706426018110263,152.0
XGBoost 0.1_Silent_3_800_42_1,0.9549955947136564,0.9549882063820152,0.11604348933662677,0.9228193832599119,0.9228106788769539,0.17785831511717745,0.929366981531087,0.9293985311396206,0.16640991789662915,137.0
XGBoost 0.1_Silent_3_1000_42_0.7,0.9636064610866373,0.9636005081534353,0.10036320541871808,0.9231013215859031,0.9230934220597392,0.17991748634491378,0.9288030452558861,0.9288285117353474,0.168446360747278,201.0
XGBoost 0.1_Silent_3_1000_42_0.85,0.9641311796377876,0.9641251249118012,0.10039975345988997,0.9239471365638766,0.9239391924101141,0.1793690230505304,0.9309178062878894,0.930946317282683,0.16902442282799005,190.0
XGBoost 0.1_Silent_3_1000_42_1,0.960798825256975,0.9607920088379833,0.10607624612162472,0.9230308370044052,0.9230224903442448,0.17963945118970825,0.9288030452558861,0.9288324472901996,0.16731431244501302,171.0
XGBoost 0.1_Silent_4_100_42_0.7,0.9309916789035731,0.9309813594758211,0.15915499887894977,0.9212334801762114,0.9212228865225299,0.17675930987305694,0.9296489496686874,0.9296887286186075,0.16646744780764555,26.0
XGBoost 0.1_Silent_4_100_42_0.85,0.9307019089574156,0.9306912491872558,0.15933642349472735,0.9219735682819383,0.9219624493285982,0.17656070552015693,0.9292259974622867,0.9292677435086799,0.1664641628387154,25.0
XGBoost 0.1_Silent_4_100_42_1,0.9287949094468918,0.9287835974248104,0.16218394777290113,0.921022026431718,0.921010583215643,0.17725222422817027,0.9295079655998872,0.9295489965448214,0.16678264673328613,23.0
XGBoost 0.1_Silent_4_200_42_0.7,0.9428761625061185,0.9428675893109387,0.13699320791330916,0.9232070484581498,0.923197796383733,0.17546087189236428,0.9314817425630904,0.9315152633538147,0.16409867620836122,53.0
XGBoost 0.1_Silent_4_200_42_0.85,0.942143906020558,0.9421349439997067,0.13809825505331755,0.9232422907488986,0.9232325580166038,0.17514280538885246,0.9309178062878894,0.9309541883923871,0.1637988767908632,50.0
